tankaID	サンプルID	書字形出現位置	短歌	subjID	metrics	vaule
4	OV0X_00001	1110	XXXXXXXXXXXXXXXXXXXXXXXXX	16	TEMPORAL	時間を表現しない
5	OV0X_00001	1360	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	COMMENT	親密、とげとげしさ、関係性／親密な関係性にあるふたりの関係性がこれ以上なく冷え切っている様子が伝わってくる。
5	OV0X_00001	1360	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	GOODorBAD	5
5	OV0X_00001	1360	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	LIKEorDISLIKE	6
5	OV0X_00001	1360	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	METAPHORICAL	比喩を含まない
5	OV0X_00001	1360	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	TEMPORAL	時間を表現しない
6	OV0X_00001	1640	XXXXXXXXXXXXXXXXXXXXXXXXX	07	COMMENT	獄中詠
6	OV0X_00001	1640	XXXXXXXXXXXXXXXXXXXXXXXXX	07	GOODorBAD	5
6	OV0X_00001	1640	XXXXXXXXXXXXXXXXXXXXXXXXX	07	LIKEorDISLIKE	4
6	OV0X_00001	1640	XXXXXXXXXXXXXXXXXXXXXXXXX	07	METAPHORICAL	比喩を含まない
6	OV0X_00001	1640	XXXXXXXXXXXXXXXXXXXXXXXXX	07	TEMPORAL	時間を表現しない
7	OV0X_00001	1890	XXXXXXXXXXXXXXXXXXXXXXXXXX	24	COMMENT	自己陶酔、発見、気づき／たばこを加えて唇がとがる様子を「尖鋭となる」と表現しているのが、唇の柔らかいイメージから飛躍していて面白く感じた。
7	OV0X_00001	1890	XXXXXXXXXXXXXXXXXXXXXXXXXX	24	GOODorBAD	7
7	OV0X_00001	1890	XXXXXXXXXXXXXXXXXXXXXXXXXX	24	LIKEorDISLIKE	6
7	OV0X_00001	1890	XXXXXXXXXXXXXXXXXXXXXXXXXX	24	METAPHORICAL	比喩を含まない
7	OV0X_00001	1890	XXXXXXXXXXXXXXXXXXXXXXXXXX	24	TEMPORAL	時間を表現しない
8	OV0X_00001	2150	XXXXXXXXXXXXXXXXXXXXXXXXXX	11	COMMENT
8	OV0X_00001	2150	XXXXXXXXXXXXXXXXXXXXXXXXXX	11	GOODorBAD	3
8	OV0X_00001	2150	XXXXXXXXXXXXXXXXXXXXXXXXXX	11	LIKEorDISLIKE	3
8	OV0X_00001	2150	XXXXXXXXXXXXXXXXXXXXXXXXXX	11	METAPHORICAL	比喩を含まない
8	OV0X_00001	2150	XXXXXXXXXXXXXXXXXXXXXXXXXX	11	TEMPORAL	時間を表現しない
9	OV0X_00001	2410	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	COMMENT
9	OV0X_00001	2410	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	GOODorBAD	4
9	OV0X_00001	2410	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	LIKEorDISLIKE	2
9	OV0X_00001	2410	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	METAPHORICAL	比喩を含まない
9	OV0X_00001	2410	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	TEMPORAL	時間を表現しない
10	OV0X_00001	2680	XXXXXXXXXXXXXXXXXXXXXXXXXX	07	COMMENT	滲み出る
10	OV0X_00001	2680	XXXXXXXXXXXXXXXXXXXXXXXXXX	07	GOODorBAD	5
10	OV0X_00001	2680	XXXXXXXXXXXXXXXXXXXXXXXXXX	07	LIKEorDISLIKE	5
10	OV0X_00001	2680	XXXXXXXXXXXXXXXXXXXXXXXXXX	07	METAPHORICAL	比喩を含まない
10	OV0X_00001	2680	XXXXXXXXXXXXXXXXXXXXXXXXXX	07	TEMPORAL	時間を表現しない
11	OV0X_00001	2940	XXXXXXXXXXXXXXXXXXXXXXXXX	32	COMMENT	戦争、社会批判、無力、緊迫感
11	OV0X_00001	2940	XXXXXXXXXXXXXXXXXXXXXXXXX	32	GOODorBAD	5
11	OV0X_00001	2940	XXXXXXXXXXXXXXXXXXXXXXXXX	32	LIKEorDISLIKE	6
11	OV0X_00001	2940	XXXXXXXXXXXXXXXXXXXXXXXXX	32	METAPHORICAL	比喩を含む
11	OV0X_00001	2940	XXXXXXXXXXXXXXXXXXXXXXXXX	32	TEMPORAL	時間を表現しない
12	OV0X_00001	3190	XXXXXXXXXXXXXXXXXXXXXXXXXXX	27	COMMENT	争い　警鐘　自己防衛
12	OV0X_00001	3190	XXXXXXXXXXXXXXXXXXXXXXXXXXX	27	GOODorBAD	4
12	OV0X_00001	3190	XXXXXXXXXXXXXXXXXXXXXXXXXXX	27	LIKEorDISLIKE	3
12	OV0X_00001	3190	XXXXXXXXXXXXXXXXXXXXXXXXXXX	27	METAPHORICAL	比喩を含む
12	OV0X_00001	3190	XXXXXXXXXXXXXXXXXXXXXXXXXXX	27	TEMPORAL	時間を表現しない
13	OV0X_00001	3460	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	COMMENT	背水の陣、共産主義、思想／作中主体が何かと闘っているのであろうことは伝わってくる。
13	OV0X_00001	3460	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	GOODorBAD	2
13	OV0X_00001	3460	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	LIKEorDISLIKE	3
13	OV0X_00001	3460	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	METAPHORICAL	比喩を含まない
13	OV0X_00001	3460	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	TEMPORAL	時間を表現しない
14	OV0X_00001	3770	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	COMMENT	怒り
14	OV0X_00001	3770	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	GOODorBAD	5
14	OV0X_00001	3770	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	LIKEorDISLIKE	5
14	OV0X_00001	3770	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	METAPHORICAL	比喩を含まない
14	OV0X_00001	3770	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	TEMPORAL	時間を表現しない
15	OV0X_00001	4100	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	COMMENT	証拠
15	OV0X_00001	4100	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	GOODorBAD	3
15	OV0X_00001	4100	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	LIKEorDISLIKE	4
15	OV0X_00001	4100	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	METAPHORICAL	比喩を含まない
15	OV0X_00001	4100	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	TEMPORAL	時間を表現しない
16	OV0X_00001	4390	XXXXXXXXXXXXXXXXXXXXXXXXX	27	COMMENT	若者　エネルギー　焦燥
16	OV0X_00001	4390	XXXXXXXXXXXXXXXXXXXXXXXXX	27	GOODorBAD	3
16	OV0X_00001	4390	XXXXXXXXXXXXXXXXXXXXXXXXX	27	LIKEorDISLIKE	3
16	OV0X_00001	4390	XXXXXXXXXXXXXXXXXXXXXXXXX	27	METAPHORICAL	比喩を含まない
16	OV0X_00001	4390	XXXXXXXXXXXXXXXXXXXXXXXXX	27	TEMPORAL	時間を表現する
17	OV0X_00001	4640	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	32	COMMENT	問いかけ、使命、無駄、必要
17	OV0X_00001	4640	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	32	GOODorBAD	6
17	OV0X_00001	4640	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	32	LIKEorDISLIKE	6
17	OV0X_00001	4640	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	32	METAPHORICAL	比喩を含まない
17	OV0X_00001	4640	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	32	TEMPORAL	時間を表現する
18	OV0X_00001	4920	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	27	COMMENT	冷笑　冷酷　距離
18	OV0X_00001	4920	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	27	GOODorBAD	3
18	OV0X_00001	4920	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	27	LIKEorDISLIKE	2
18	OV0X_00001	4920	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	27	METAPHORICAL	比喩を含まない
18	OV0X_00001	4920	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	27	TEMPORAL	時間を表現しない
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	COMMENT	自嘲
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	GOODorBAD	3
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	LIKEorDISLIKE	5
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	METAPHORICAL	比喩を含む
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	TEMPORAL	時間を表現しない
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	22	COMMENT
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	22	GOODorBAD	3
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	22	LIKEorDISLIKE	3
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	COMMENT	思い出：思い出を克明に、正確に書き記すようにしておけない自分へのもどかしさが伝わる
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	GOODorBAD	6
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	LIKEorDISLIKE	5
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	METAPHORICAL	比喩を含まない
19	OV0X_00001	5220	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	24	TEMPORAL	時間を表現しない
20	OV0X_00001	5500	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	COMMENT	意地、プライド
20	OV0X_00001	5500	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	GOODorBAD	4
20	OV0X_00001	5500	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	LIKEorDISLIKE	5
20	OV0X_00001	5500	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	METAPHORICAL	比喩を含まない
20	OV0X_00001	5500	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	TEMPORAL	時間を表現しない
20	OV0X_00001	5500	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	COMMENT	しどろもどろ
20	OV0X_00001	5500	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	GOODorBAD	5
20	OV0X_00001	5500	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	LIKEorDISLIKE	5
20	OV0X_00001	5500	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	METAPHORICAL	比喩を含まない
20	OV0X_00001	5500	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	TEMPORAL	時間を表現しない
21	OV0X_00001	5810	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	27	COMMENT	静　芸術家　彫刻/芸術作品は観てくれるだれかがいるかぎり死なないらしいですね
21	OV0X_00001	5810	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	27	GOODorBAD	4
21	OV0X_00001	5810	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	27	LIKEorDISLIKE	5
21	OV0X_00001	5810	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	27	METAPHORICAL	比喩を含まない
21	OV0X_00001	5810	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	27	TEMPORAL	時間を表現しない
22	OV0X_00001	6090	XXXXXXXXXXXXXXXXXXXXXXXXXXX	09	COMMENT	恋
22	OV0X_00001	6090	XXXXXXXXXXXXXXXXXXXXXXXXXXX	09	GOODorBAD	3
22	OV0X_00001	6090	XXXXXXXXXXXXXXXXXXXXXXXXXXX	09	LIKEorDISLIKE	2
22	OV0X_00001	6090	XXXXXXXXXXXXXXXXXXXXXXXXXXX	09	METAPHORICAL	比喩を含む
22	OV0X_00001	6090	XXXXXXXXXXXXXXXXXXXXXXXXXXX	09	TEMPORAL	時間を表現しない
23	OV0X_00001	6360	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	18	COMMENT
23	OV0X_00001	6360	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	18	GOODorBAD	3
23	OV0X_00001	6360	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	18	LIKEorDISLIKE	2
23	OV0X_00001	6360	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	18	METAPHORICAL	比喩を含む
23	OV0X_00001	6360	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	18	TEMPORAL	時間を表現しない
24	OV0X_00001	6660	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	11	COMMENT
24	OV0X_00001	6660	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	11	GOODorBAD	3
24	OV0X_00001	6660	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	11	LIKEorDISLIKE	4
24	OV0X_00001	6660	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	11	METAPHORICAL	比喩を含む
24	OV0X_00001	6660	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	11	TEMPORAL	時間を表現しない
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	09	COMMENT	恋
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	09	GOODorBAD	3
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	09	LIKEorDISLIKE	3
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	09	METAPHORICAL	比喩を含まない
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	09	TEMPORAL	時間を表現しない
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	22	COMMENT
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	22	GOODorBAD	5
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	22	LIKEorDISLIKE	6
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	24	COMMENT	青春、恋愛
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	24	GOODorBAD	5
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	24	LIKEorDISLIKE	5
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	24	METAPHORICAL	比喩を含まない
25	OV0X_00001	7000	XXXXXXXXXXXXXXXXXXXXXXXXX	24	TEMPORAL	時間を表現しない
26	OV0X_00001	7250	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	COMMENT	雰囲気
26	OV0X_00001	7250	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	GOODorBAD	5
26	OV0X_00001	7250	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	LIKEorDISLIKE	4
26	OV0X_00001	7250	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	METAPHORICAL	比喩を含む
26	OV0X_00001	7250	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	TEMPORAL	時間を表現しない
27	OV0X_00001	7550	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	18	COMMENT
27	OV0X_00001	7550	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	18	GOODorBAD	3
27	OV0X_00001	7550	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	18	LIKEorDISLIKE	4
27	OV0X_00001	7550	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	18	METAPHORICAL	比喩を含まない
27	OV0X_00001	7550	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	18	TEMPORAL	時間を表現する
28	OV0X_00001	7830	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	COMMENT	死、葬式、別離
28	OV0X_00001	7830	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	GOODorBAD	5
28	OV0X_00001	7830	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	LIKEorDISLIKE	3
28	OV0X_00001	7830	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	METAPHORICAL	比喩を含む
28	OV0X_00001	7830	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	TEMPORAL	時間を表現しない
29	OV0X_00001	8110	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	31	COMMENT	生活/変容
29	OV0X_00001	8110	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	31	GOODorBAD	6
29	OV0X_00001	8110	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	31	LIKEorDISLIKE	6
29	OV0X_00001	8110	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	31	METAPHORICAL	比喩を含む
29	OV0X_00001	8110	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	31	TEMPORAL	時間を表現する
30	OV0X_00001	8420	XXXXXXXXXXXXXXXXXXXXXXXXX	09	COMMENT	揺らぎ、不安
30	OV0X_00001	8420	XXXXXXXXXXXXXXXXXXXXXXXXX	09	GOODorBAD	7
30	OV0X_00001	8420	XXXXXXXXXXXXXXXXXXXXXXXXX	09	LIKEorDISLIKE	7
30	OV0X_00001	8420	XXXXXXXXXXXXXXXXXXXXXXXXX	09	METAPHORICAL	比喩を含まない
30	OV0X_00001	8420	XXXXXXXXXXXXXXXXXXXXXXXXX	09	TEMPORAL	時間を表現しない
31	OV0X_00001	8670	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	COMMENT
31	OV0X_00001	8670	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	GOODorBAD	4
31	OV0X_00001	8670	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	LIKEorDISLIKE	4
31	OV0X_00001	8670	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	METAPHORICAL	比喩を含まない
31	OV0X_00001	8670	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	TEMPORAL	時間を表現しない
32	OV0X_00001	8940	XXXXXXXXXXXXXXXXXXXXXXXXXX	11	COMMENT
32	OV0X_00001	8940	XXXXXXXXXXXXXXXXXXXXXXXXXX	11	GOODorBAD	5
32	OV0X_00001	8940	XXXXXXXXXXXXXXXXXXXXXXXXXX	11	LIKEorDISLIKE	5
32	OV0X_00001	8940	XXXXXXXXXXXXXXXXXXXXXXXXXX	11	METAPHORICAL	比喩を含まない
32	OV0X_00001	8940	XXXXXXXXXXXXXXXXXXXXXXXXXX	11	TEMPORAL	時間を表現しない
33	OV0X_00001	9200	XXXXXXXXXXXXXXXXXXXXXXXXXX	23	COMMENT	囲炉裏、新聞／歌が抽象的で意味をあまり取りきれていない。何らかの曲解をされたことに対する弁明の歌だろうか。一首からだとその背景まで読み取ることはできない。
33	OV0X_00001	9200	XXXXXXXXXXXXXXXXXXXXXXXXXX	23	GOODorBAD	2
33	OV0X_00001	9200	XXXXXXXXXXXXXXXXXXXXXXXXXX	23	LIKEorDISLIKE	3
33	OV0X_00001	9200	XXXXXXXXXXXXXXXXXXXXXXXXXX	23	METAPHORICAL	比喩を含まない
33	OV0X_00001	9200	XXXXXXXXXXXXXXXXXXXXXXXXXX	23	TEMPORAL	時間を表現しない
34	OV0X_00001	9460	XXXXXXXXXXXXXXXXXXXXXXXXXXX	09	COMMENT	愛
34	OV0X_00001	9460	XXXXXXXXXXXXXXXXXXXXXXXXXXX	09	GOODorBAD	3
34	OV0X_00001	9460	XXXXXXXXXXXXXXXXXXXXXXXXXXX	09	LIKEorDISLIKE	2
34	OV0X_00001	9460	XXXXXXXXXXXXXXXXXXXXXXXXXXX	09	METAPHORICAL	比喩を含まない
34	OV0X_00001	9460	XXXXXXXXXXXXXXXXXXXXXXXXXXX	09	TEMPORAL	時間を表現する
35	OV0X_00001	9730	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	COMMENT	明るさ/安定感
35	OV0X_00001	9730	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	GOODorBAD	4
35	OV0X_00001	9730	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	LIKEorDISLIKE	4
35	OV0X_00001	9730	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	METAPHORICAL	比喩を含まない
35	OV0X_00001	9730	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	TEMPORAL	時間を表現しない
36	OV0X_00001	10040	XXXXXXXXXXXXXXXXXXXXXXXXX	27	COMMENT	文芸　無才　隔絶
36	OV0X_00001	10040	XXXXXXXXXXXXXXXXXXXXXXXXX	27	GOODorBAD	3
36	OV0X_00001	10040	XXXXXXXXXXXXXXXXXXXXXXXXX	27	LIKEorDISLIKE	2
36	OV0X_00001	10040	XXXXXXXXXXXXXXXXXXXXXXXXX	27	METAPHORICAL	比喩を含まない
36	OV0X_00001	10040	XXXXXXXXXXXXXXXXXXXXXXXXX	27	TEMPORAL	時間を表現しない
37	OV0X_00001	10290	XXXXXXXXXXXXXXXXXXXXXXXX	26	COMMENT	大会
37	OV0X_00001	10290	XXXXXXXXXXXXXXXXXXXXXXXX	26	GOODorBAD	3
37	OV0X_00001	10290	XXXXXXXXXXXXXXXXXXXXXXXX	26	LIKEorDISLIKE	3
37	OV0X_00001	10290	XXXXXXXXXXXXXXXXXXXXXXXX	26	METAPHORICAL	比喩を含む
37	OV0X_00001	10290	XXXXXXXXXXXXXXXXXXXXXXXX	26	TEMPORAL	時間を表現しない
38	OV0X_00001	10530	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	17	COMMENT	戯画的/演技的に過去のことを表現
38	OV0X_00001	10530	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	17	GOODorBAD	5
38	OV0X_00001	10530	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	17	LIKEorDISLIKE	6
38	OV0X_00001	10530	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	17	METAPHORICAL	比喩を含まない
38	OV0X_00001	10530	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	17	TEMPORAL	時間を表現する
39	OV0X_00001	10810	XXXXXXXXXXXXXXXXXXXXXXXX	27	COMMENT	政治詠　ちっぽけな自分　無力　/余計な語が多い
39	OV0X_00001	10810	XXXXXXXXXXXXXXXXXXXXXXXX	27	GOODorBAD	2
39	OV0X_00001	10810	XXXXXXXXXXXXXXXXXXXXXXXX	27	LIKEorDISLIKE	2
39	OV0X_00001	10810	XXXXXXXXXXXXXXXXXXXXXXXX	27	METAPHORICAL	比喩を含まない
39	OV0X_00001	10810	XXXXXXXXXXXXXXXXXXXXXXXX	27	TEMPORAL	時間を表現しない
40	OV0X_00001	11050	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	COMMENT	広がり、思慮、ふたり
40	OV0X_00001	11050	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	GOODorBAD	4
40	OV0X_00001	11050	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	LIKEorDISLIKE	6
40	OV0X_00001	11050	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	METAPHORICAL	比喩を含まない
40	OV0X_00001	11050	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	16	TEMPORAL	時間を表現しない
41	OV0X_00001	11340	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	COMMENT	怒り/デモに対する批判的な目線を感じる
41	OV0X_00001	11340	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	GOODorBAD	4
41	OV0X_00001	11340	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	LIKEorDISLIKE	4
41	OV0X_00001	11340	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	METAPHORICAL	比喩を含まない
41	OV0X_00001	11340	XXXXXXXXXXXXXXXXXXXXXXXXXXXXX	01	TEMPORAL	時間を表現しない
42	OV0X_00001	11630	XXXXXXXXXXXXXXXXXXXXXXXXXX	09	COMMENT	内に秘めた意志
42	OV0X_00001	11630	XXXXXXXXXXXXXXXXXXXXXXXXXX	09	GOODorBAD	5
42	OV0X_00001	11630	XXXXXXXXXXXXXXXXXXXXXXXXXX	09	LIKEorDISLIKE	6
42	OV0X_00001	11630	XXXXXXXXXXXXXXXXXXXXXXXXXX	09	METAPHORICAL	比喩を含まない
42	OV0X_00001	11630	XXXXXXXXXXXXXXXXXXXXXXXXXX	09	TEMPORAL	時間を表現しない
42	OV0X_00001	11630	XXXXXXXXXXXXXXXXXXXXXXXXXX	16	COMMENT	強さ
